"","Title","Genre","Runtime","Rank","IMDB_rating","Description"
"43","The Accountant","Action",128,43,7.4,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
"44","War Dogs","Comedy",114,44,7.1,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."
"45","The Lost City of Z","Adventure",141,45,6.6,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s."
"46","The Secret Life of Pets","Animation",87,46,6.5,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
"47","Teenage Mutant Ninja Turtles: Out of the Shadows","Action",112,47,6,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang."
"48","Miss Peregrine's Home for Peculiar Children","Adventure",127,48,6.7,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
"49","Moonlight","Drama",111,49,7.4,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."
"50","Hell or High Water","Crime",102,50,7.6,"A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas."
"51","Contratiempo","Crime",106,51,8.1,"While the clock is ticking, with the aid of a witness preparation expert, a successful entrepreneur accused of murder has less than three hours to come up with an impregnable defence."
"52","The Neon Demon","Horror",118,52,6.2,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister."
"53","Nerve","Action",96,53,6.6,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers."""
"54","Allied","Action",124,54,7.1,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
"55","A Cure for Wellness","Drama",146,55,6.4,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem."
"56","The Boy","Horror",97,56,6,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive."
"57","Captain Fantastic","Comedy",118,57,7.9,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
"58","Lion","Biography",118,58,8.1,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."
"59","The Nice Guys","Action",116,59,7.4,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
"60","Gods of Egypt","Action",127,60,5.4,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict."
"61","Allegiant","Action",120,61,5.7,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them."
"62","Independence Day: Resurgence","Action",120,62,5.2,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"
"63","Deepwater Horizon","Action",107,63,7.2,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history."
"64","The Great Wall","Action",103,64,6,"European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures."
"65","10 Cloverfield Lane","Drama",103,65,7.2,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
"66","The Forest","Horror",93,66,4.8,"A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror."
"67","Bastille Day","Action",92,67,6.3,"A young pickpocket and an unruly CIA agent team up on an anti-terrorist mission in France."
"68","My Big Fat Greek Wedding 2","Comedy",94,68,6,"A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding."
"69","The Huntsman: Winter's War","Action",114,69,6.1,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna."
"70","Manchester by the Sea","Drama",137,70,7.8,"A depressed uncle is asked to take care of his teenage nephew after the boy's father dies."
"71","Swiss Army Man","Adventure",97,71,7,"A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home."
"72","Bad Moms","Comedy",100,72,6.2,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence."
"73","The Limehouse Golem","Crime",109,73,6.3,"As music-hall star Elizabeth Cree awaits her sentence for the death of her husband John, Inspector Kildare suspects he may have died by the hand of the serial killer responsible for the series of murders that has shaken Victorian London."
"74","Free Fire","Action",91,74,6.4,"Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival."
"75","True Crimes","Crime",92,75,4.9,"A murder investigation of a slain businessman turns to clues found in an author's book about an eerily similar crime. Based on the 2008 article ""True Crimes - A Postmodern Murder Mystery"" by David Grann."
"76","Below Her Mouth","Drama",94,76,5.6,"An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever."
"77","The 5th Wave","Action",112,77,5.2,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother."
"78","Underworld: Blood Wars","Action",91,78,5.8,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
"79","Pride and Prejudice and Zombies","Action",108,79,5.8,"Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies."
"80","Everybody Wants Some!!","Comedy",117,80,7,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood."
"81","Hush","Horror",81,81,6.6,"A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window."
"82","Assassin's Creed","Action",115,82,5.8,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society."
"83","Inferno","Action",121,83,6.2,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."
"84","Fences","Drama",139,84,7.2,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life."
"85","Crawlspace","Horror",88,85,5.1,"A thriller centered around a widower who moves into a seemingly perfect new home with his daughter and new wife."
"86","Ah-ga-ssi","Crime",144,86,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
"87","The Edge of Seventeen","Comedy",104,87,7.4,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother."
"88","Silence","Adventure",161,88,7.2,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
"89","The Bad Batch","Drama",118,89,5.3,"In a desert dystopia, a young woman is kidnapped by cannibals."
"90","Grave","Drama",99,90,7,"When a young vegetarian undergoes a carnivorous hazing ritual at vet school, an unbidden taste for meat begins to grow in her."
"91","Dirty Grandpa","Comedy",102,91,5.9,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break."
"92","Why Him?","Comedy",111,92,6.2,"A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question."
"93","Kung Fu Panda 3","Animation",95,93,7.1,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home."
"94","The Autopsy of Jane Doe","Horror",86,94,6.8,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."
"95","Ice Age: Collision Course","Animation",94,95,5.7,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world."
"96","Patriots Day","Crime",133,96,7.4,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible."
"97","Criminal","Action",113,97,6.3,"In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission."
"98","Lights Out","Horror",81,98,6.3,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother."
"99","Sully: Miracle on the Hudson","Biography",96,99,7.5,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
"100","The Founder","Biography",115,100,7.2,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness."
